epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80513,0,3.69988,0,0,0,0,0,0,1.52612,0,0.0003,0.0003,0.0003
2,3.50565,0,3.55869,0,0,0,0,0,0,1.52564,0,0.00055862,0.00055862,0.00055862
3,5.18431,0,3.43825,0,0,0,0,0,0,1.51156,0,0.00075388,0.00075388,0.00075388
4,6.81153,0,3.3283,0,0,0,0,0,0,1.45812,0,0.00088578,0.00088578,0.00088578
5,8.48654,0,3.27497,0,0,0,0,0,0,1.38532,0,0.00095432,0.00095432,0.00095432
6,10.13,0,3.15473,0,0,0,0,0,0,1.38532,0,0.0009595,0.0009595,0.0009595
7,11.7977,0,3.15179,0,0,0,0,0,0,1.35306,0,0.000812,0.000812,0.000812
8,13.405,0,3.04491,0,0,0,0,0,0,1.35306,0,0.000614,0.000614,0.000614
9,15.1174,0,3.04381,0,0,0,0,0,0,1.33661,0,0.000416,0.000416,0.000416
10,16.6922,0,2.9928,0,0,0,0,0,0,1.33661,0,0.000218,0.000218,0.000218
