epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9158,3.10312,3.09217,1.79076,0.54998,0.57022,0.53234,0.18874,2.17026,2.49767,1.20467,0.00014,0.00014,0.00014
2,58.1564,2.18271,1.48831,1.23336,0.68422,0.53933,0.55642,0.19329,2.3315,2.24628,1.29025,0.00029505,0.00029505,0.00029505
3,86.1413,2.00507,1.17295,1.18447,0.68614,0.60112,0.61509,0.22122,2.20547,2.29957,1.21281,0.00044482,0.00044482,0.00044482
4,118.616,1.97734,1.03242,1.17915,0.69007,0.41573,0.45796,0.17258,2.01725,1.6362,1.153,0.00058931,0.00058931,0.00058931
5,152.742,1.90386,1.0375,1.17665,0.70717,0.56304,0.56764,0.21378,2.06262,1.61262,1.2095,0.00072852,0.00072852,0.00072852
6,187.778,1.92418,1.08326,1.15466,0.56302,0.24719,0.21573,0.08526,2.13146,1.95559,1.21267,0.00086245,0.00086245,0.00086245
7,220.981,1.87404,1.04059,1.13799,0.54839,0.22191,0.19535,0.06991,2.08939,1.66816,1.18837,0.0009911,0.0009911,0.0009911
8,256.895,1.89222,0.98668,1.15795,0.51918,0.25,0.21731,0.08001,2.17239,1.75589,1.24265,0.00111447,0.00111447,0.00111447
9,290.518,1.83731,0.9578,1.13093,0.50568,0.25,0.21816,0.08077,2.21305,1.376,1.26634,0.00123256,0.00123256,0.00123256
10,327.71,1.83647,0.94379,1.15652,0.34616,0.20225,0.13126,0.04178,2.25035,1.93701,1.28566,0.00134537,0.00134537,0.00134537
11,366.678,1.88232,0.88676,1.14093,0.33029,0.20787,0.14229,0.04685,2.44363,2.15067,1.34645,0.0014529,0.0014529,0.0014529
12,406.293,1.78459,0.88478,1.11823,0.60836,0.22191,0.218,0.08737,2.07621,1.2352,1.18136,0.00155515,0.00155515,0.00155515
13,450.765,1.79922,0.85078,1.1199,0.585,0.27247,0.253,0.08881,2.12501,1.27308,1.20623,0.001604,0.001604,0.001604
