epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2288,2.45165,2.59149,1.38154,0.37256,0.55965,0.30331,0.1131,2.17299,2.74086,1.17076,0.00046,0.00046,0.00046
2,108.766,1.99333,1.2176,1.15244,0.63251,0.67264,0.63835,0.23242,2.07704,1.90933,1.13228,0.00092449,0.00092449,0.00092449
3,176.218,2.01519,1.23241,1.20065,0.56243,0.62157,0.48918,0.17279,2.13089,2.07976,1.16178,0.00137314,0.00137314,0.00137314
4,244.057,2.01773,1.19523,1.19667,0.6492,0.60389,0.5716,0.18348,2.29394,2.64832,1.26318,0.00180595,0.00180595,0.00180595
5,329.355,2.01541,1.15212,1.17569,0.70454,0.6536,0.65193,0.23037,2.19747,1.37662,1.22469,0.001868,0.001868,0.001868
6,415.211,2.00067,1.14685,1.20399,0.73432,0.44828,0.45826,0.16934,2.22021,1.60141,1.237,0.001835,0.001835,0.001835
7,504.014,1.95907,1.06194,1.17727,0.68132,0.43099,0.41824,0.13925,2.3073,1.77085,1.21539,0.001802,0.001802,0.001802
8,605.258,1.86351,1.023,1.14698,0.76532,0.6055,0.62704,0.24192,2.14325,1.28673,1.1401,0.001769,0.001769,0.001769
9,713.48,1.82358,0.98616,1.13416,0.80227,0.64633,0.68302,0.25962,2.15585,1.11988,1.16741,0.001736,0.001736,0.001736
10,819.629,1.86338,0.99728,1.13492,0.76055,0.69319,0.72548,0.27326,2.14401,1.09005,1.15718,0.001703,0.001703,0.001703
11,934.497,1.8512,0.99285,1.12527,0.80641,0.75243,0.78416,0.30321,2.04207,1.08064,1.12745,0.00167,0.00167,0.00167
12,1042.79,1.82343,0.9699,1.1218,0.81339,0.78603,0.81039,0.31107,2.04531,1.08036,1.12148,0.001637,0.001637,0.001637
13,1143.2,1.80272,0.92527,1.118,0.84474,0.77452,0.8189,0.34334,1.98059,1.00973,1.11254,0.001604,0.001604,0.001604
14,1240.28,1.80477,0.94419,1.11251,0.82786,0.73563,0.77147,0.295,2.14489,1.04931,1.14943,0.001571,0.001571,0.001571
