epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6054,3.99846,9.91635,1.88344,0.23723,0.30973,0.16048,0.03169,3.00008,2.29008,1.13906,2e-05,2e-05,2e-05
2,99.6445,3.94067,5.26781,1.61012,0.05444,0.43363,0.04827,0.01125,2.9068,2.48642,1.11613,5.8812e-05,5.8812e-05,5.8812e-05
3,151.438,3.44464,4.02722,1.40512,0.07889,0.62832,0.07619,0.0218,2.74661,2.31341,1.0701,9.604e-05,9.604e-05,9.604e-05
4,201.565,2.89132,2.85209,1.31388,0.41269,0.44774,0.3549,0.10009,2.50225,1.94224,1.01722,0.000131684,0.000131684,0.000131684
5,249.526,2.70187,2.16403,1.16565,0.47345,0.46152,0.42093,0.10668,2.57211,1.99487,1.01352,0.000165744,0.000165744,0.000165744
6,297.996,2.55606,1.85292,1.18635,0.53568,0.49558,0.4498,0.127,2.45294,1.91027,0.99767,0.00019822,0.00019822,0.00019822
7,347.944,2.73874,1.89185,1.14787,0.36788,0.45323,0.33592,0.09901,2.43066,2.14132,0.99535,0.000229112,0.000229112,0.000229112
8,396.463,2.50318,1.67896,1.07966,0.24481,0.66372,0.22927,0.07031,2.43761,3.31581,1.01662,0.00025842,0.00025842,0.00025842
9,444.307,2.38458,1.58305,1.07876,0.364,0.59292,0.36193,0.1022,2.50643,1.81567,1.02889,0.000286144,0.000286144,0.000286144
10,493.775,2.47966,1.58122,1.11675,0.50623,0.52212,0.55822,0.18198,2.36015,1.45466,1.01785,0.000312284,0.000312284,0.000312284
11,540.961,2.31526,1.49129,1.07599,0.58541,0.54981,0.61092,0.22906,2.22463,1.37821,1.00253,0.00033684,0.00033684,0.00033684
12,592.508,2.64211,1.48968,1.0711,0.62613,0.56637,0.61025,0.1973,2.36682,1.36376,1.01563,0.000359812,0.000359812,0.000359812
13,642.415,2.33052,1.27818,1.03263,0.58635,0.52212,0.51675,0.15976,2.52252,1.61316,1.03339,0.0003812,0.0003812,0.0003812
14,692.784,2.39307,1.33532,1.04349,0.68623,0.50322,0.57113,0.18413,2.483,1.41618,1.03053,0.000401004,0.000401004,0.000401004
15,741.299,2.2829,1.22154,1.01652,0.62955,0.69027,0.69805,0.23724,2.23482,1.33723,0.99947,0.000419224,0.000419224,0.000419224
16,788.32,2.23385,1.21356,1.04759,0.62116,0.60944,0.63096,0.2179,2.29249,1.36135,1.00919,0.00043586,0.00043586,0.00043586
17,835.82,2.23576,1.21985,1.08983,0.4198,0.3906,0.34471,0.09071,2.93151,1.55789,1.14425,0.000450912,0.000450912,0.000450912
18,884.422,2.27966,1.19837,1.04592,0.1885,0.23009,0.10798,0.02009,3.75455,1.84197,1.37741,0.00046438,0.00046438,0.00046438
19,932.38,2.27794,1.16762,1.08958,0.26597,0.28319,0.2018,0.04474,3.64211,1.74869,1.38276,0.000476264,0.000476264,0.000476264
20,982.29,2.18604,1.1236,1.00666,0.42526,0.42478,0.36506,0.0961,3.22162,1.71804,1.28623,0.000486564,0.000486564,0.000486564
21,1030.19,2.17474,1.16917,1.06116,0.36019,0.43363,0.30262,0.07975,3.19088,1.65972,1.25876,0.00049528,0.00049528,0.00049528
22,1077.36,2.29526,1.13669,1.04789,0.23514,0.25664,0.12641,0.0262,3.60172,1.75484,1.31713,0.000502412,0.000502412,0.000502412
23,1126.3,2.12338,1.08274,1.04337,0.297,0.25664,0.16016,0.03207,3.64404,1.8143,1.30871,0.00050796,0.00050796,0.00050796
24,1174.7,2.2207,1.12042,1.0538,0.47907,0.51272,0.45753,0.13159,2.82199,1.63212,1.12279,0.000511924,0.000511924,0.000511924
25,1222.14,2.31668,1.10786,1.03669,0.47102,0.53982,0.44581,0.14279,2.63535,1.68684,1.09291,0.000514304,0.000514304,0.000514304
