epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.552,4.06475,8.87087,1.72779,0.35359,0.18916,0.13415,0.03263,2.9479,2.44971,1.08922,4e-05,4e-05,4e-05
2,195.118,3.55229,4.29252,1.41901,0.45804,0.28505,0.26401,0.06602,2.78111,2.09994,1.05483,9.802e-05,9.802e-05,9.802e-05
3,289.374,2.7483,2.61131,1.17579,0.49532,0.51402,0.44431,0.12429,2.52535,1.77426,1.01157,0.000153664,0.000153664,0.000153664
4,386.532,2.76058,2.11838,1.15506,0.51078,0.45327,0.4112,0.1204,2.53761,1.87128,1.00236,0.000206932,0.000206932,0.000206932
5,483.196,2.61473,1.89954,1.04908,0.44209,0.51469,0.40998,0.10868,2.57883,1.67773,1.01798,0.000257824,0.000257824,0.000257824
6,579.385,2.47395,1.60017,1.05323,0.64054,0.51628,0.53251,0.16537,2.44827,1.53674,1.00651,0.00030634,0.00030634,0.00030634
7,678.845,2.40516,1.45179,1.08958,0.56077,0.61215,0.54637,0.15875,2.5945,1.41873,1.01618,0.00035248,0.00035248,0.00035248
8,775.289,2.29358,1.37184,1.04487,0.65008,0.68224,0.60662,0.19445,2.42355,1.30195,0.998,0.000396244,0.000396244,0.000396244
9,869.593,2.39116,1.29543,1.08778,0.71177,0.70561,0.69836,0.23922,2.35567,1.19604,1.00437,0.000437632,0.000437632,0.000437632
10,963.501,2.44936,1.26146,1.08121,0.63953,0.61682,0.54535,0.15369,2.66162,1.33419,1.04228,0.000476644,0.000476644,0.000476644
11,1056.92,2.32158,1.19068,1.01147,0.58328,0.5514,0.50595,0.14675,2.5297,1.27664,1.00466,0.00051328,0.00051328,0.00051328
12,1147.64,2.29027,1.16328,1.03227,0.49254,0.58411,0.46499,0.13942,2.51232,1.28091,1.00736,0.00054754,0.00054754,0.00054754
13,1238.96,2.27414,1.17961,1.00363,0.65469,0.64486,0.6346,0.17963,2.53459,1.28573,1.01927,0.000579424,0.000579424,0.000579424
14,1330.4,2.34715,1.17801,1.04894,0.72995,0.7243,0.72968,0.23542,2.38296,1.16969,1.00957,0.000608932,0.000608932,0.000608932
15,1423.22,2.21013,1.12396,1.03177,0.69439,0.65421,0.67681,0.20199,2.54081,1.22925,1.02372,0.000636064,0.000636064,0.000636064
16,1513.9,2.1995,1.11565,1.01253,0.49897,0.54673,0.45709,0.10512,2.91729,1.40707,1.06602,0.00066082,0.00066082,0.00066082
17,1604.32,2.20196,1.04235,0.98291,0.451,0.55607,0.41325,0.09522,2.92946,1.41689,1.06963,0.0006832,0.0006832,0.0006832
18,1695.1,2.12708,1.12054,0.99374,0.53593,0.59362,0.50176,0.13329,2.69736,1.30641,1.04511,0.000703204,0.000703204,0.000703204
19,1785.93,2.34126,1.07354,0.98517,0.48827,0.52804,0.42777,0.10978,2.78358,1.3704,1.05758,0.000720832,0.000720832,0.000720832
